i,Qual,tx,ty,o1x,o1y,o2x,o2y,o3x,o3y,px,py,pz,qx,qy,qz,qw
184,8,-0.723826,-12.1359,-4.73874,-13.3562,-4.7725,-13.4662,-7.6554,-22.8599,18.2794,45.9537,48.7288,-0.0039143,0.978222,-0.207348,-0.00851615
185,8,-0.942645,-11.5965,-4.73874,-13.3562,-4.7725,-13.4662,-7.6554,-22.8599,18.3027,46.0329,48.7356,-0.00349378,0.977542,-0.210491,-0.00969031
186,5,-0.439411,-13.8844,-3.59144,-13.4035,-3.62217,-13.5144,-6.24632,-22.9805,18.3459,46.1988,48.6813,-0.00281371,0.979649,-0.200569,-0.00722103
187,8,-0.0275803,-14.0963,-3.59144,-13.4035,-3.62217,-13.5144,-6.24632,-22.9805,18.358,46.1807,48.6217,-0.0025566,0.979857,-0.199621,-0.00505518
188,0,0.0851789,-16.2815,-3.59144,-13.4035,-3.62217,-13.5144,-6.24632,-22.9805,18.4043,46.4232,48.6077,-0.00213333,0.981649,-0.190624,-0.00475095
189,5,0.447062,-17.8341,-2.09439,-14.626,-2.12737,-14.7426,-4.9526,-24.7282,18.4376,46.5785,48.5372,-0.00235361,0.982847,-0.184379,-0.00325132
190,8,-0.0627248,-17.3377,-2.09439,-14.626,-2.12737,-14.7426,-4.9526,-24.7282,18.4243,46.5015,48.4731,-0.00215792,0.982429,-0.186537,-0.00579951
191,0,0.818331,-19.4332,-2.09439,-14.626,-2.12737,-14.7426,-4.9526,-24.7282,18.4756,46.756,48.4565,-0.00257378,0.984003,-0.178126,-0.00175154
192,5,0.182786,-21.0554,-1.14798,-16.1503,-1.18634,-16.2734,-4.48753,-26.8627,18.5139,46.9865,48.3659,-0.00256738,0.98504,-0.172216,-0.00556639
193,8,0.182786,-21.0554,-1.14798,-16.1503,-1.18634,-16.2734,-4.48753,-26.8627,18.5139,46.9865,48.3659,-0.00256738,0.98504,-0.172216,-0.00556639
194,5,1.12907,-25.328,0.48131,-18.2762,0.436427,-18.4082,-3.45292,-29.8545,18.5731,47.3514,48.3646,-0.0032908,0.988025,-0.154249,-0.00153127
195,8,1.3831,-25.8758,0.48131,-18.2762,0.436427,-18.4082,-3.45292,-29.8545,18.5783,47.3857,48.3437,-0.00334456,0.98838,-0.151964,-0.000278555
196,5,1.4744,-29.0093,2.16701,-20.8941,2.11338,-21.0368,-2.57899,-33.5234,18.6184,47.681,48.352,-0.00426173,0.990256,-0.139195,-0.000757631
197,8,2.11353,-29.7999,2.16701,-20.8941,2.11338,-21.0368,-2.57899,-33.5234,18.6454,47.7972,48.363,-0.00401308,0.990666,-0.136228,0.00250438
198,5,2.09113,-33.0347,3.83468,-23.6529,3.77178,-23.8063,-1.79364,-37.3843,18.6807,48.1279,48.3839,-0.00541299,0.992337,-0.123438,0.0011499
199,8,1.61615,-32.4444,3.83468,-23.6529,3.77178,-23.8063,-1.79364,-37.3843,18.6831,48.156,48.3653,-0.00517818,0.991965,-0.126403,-0.00123658
200,5,1.91803,-34.3917,5.70625,-26.7564,5.63326,-26.9214,-0.915757,-41.7275,18.7027,48.3119,48.3978,-0.00553843,0.992948,-0.118423,-0.000139715
201,8,2.09983,-36.4478,5.70625,-26.7564,5.63326,-26.9214,-0.915757,-41.7275,18.7251,48.544,48.4102,-0.00681198,0.993839,-0.110627,-0.000204771
202,0,2.26895,-36.6633,5.70625,-26.7564,5.63326,-26.9214,-0.915757,-41.7275,18.7525,48.7064,48.4799,-0.00589831,0.993865,-0.110435,0.000957159
203,0,2.49858,-38.304,5.70625,-26.7564,5.63326,-26.9214,-0.915757,-41.7275,18.7596,48.7405,48.4616,-0.0059814,0.994617,-0.103429,0.0018771
204,8,2.49858,-38.304,7.55864,-29.5127,7.47752,-29.6876,0.101181,-45.594,18.7596,48.7405,48.4616,-0.0059814,0.994617,-0.103429,0.0018771
205,0,2.47638,-38.0967,7.55864,-29.5127,7.47752,-29.6876,0.101181,-45.594,18.7642,48.8492,48.5035,-0.00555785,0.994467,-0.104885,0.00199986
206,5,2.58319,-39.6739,10.1568,-33.9704,10.0621,-34.1602,1.24971,-51.8279,18.7559,48.91,48.4907,-0.00562111,0.995131,-0.0983763,0.00242009
207,8,2.58319,-39.6739,10.1568,-33.9704,10.0621,-34.1602,1.24971,-51.8279,18.7559,48.91,48.4907,-0.00562111,0.995131,-0.0983763,0.00242009
208,8,2.30009,-38.815,10.1568,-33.9704,10.0621,-34.1602,1.24971,-51.8279,18.7444,48.9652,48.5918,-0.00518324,0.994758,-0.102114,0.00139147
209,0,1.82309,-39.7227,10.1568,-33.9704,10.0621,-34.1602,1.24971,-51.8279,18.7246,48.982,48.5346,-0.00428685,0.995131,-0.0984683,-0.00062285
210,8,1.82309,-39.7227,10.9045,-35.1581,10.8065,-35.3517,1.62499,-53.4915,18.7246,48.982,48.5346,-0.00428685,0.995131,-0.0984683,-0.00062285
211,0,2.60474,-39.4334,10.9045,-35.1581,10.8065,-35.3517,1.62499,-53.4915,18.6908,49.0187,48.5963,-0.00477047,0.994998,-0.0997166,0.00363332
212,5,1.89885,-39.7367,10.9352,-35.7935,10.8344,-35.989,1.36492,-54.3637,18.664,49.0241,48.6015,-0.00402874,0.995137,-0.0984123,0.000469199
213,8,2.12361,-39.5764,10.9352,-35.7935,10.8344,-35.989,1.36492,-54.3637,18.6751,49.0302,48.6171,-0.00443464,0.995068,-0.099088,0.00137787
214,0,1.17871,-40.0429,10.9352,-35.7935,10.8344,-35.989,1.36492,-54.3637,18.629,49.0312,48.6083,-0.00328696,0.995265,-0.0971067,-0.00269493
215,5,1.06158,-39.8897,10.857,-36.0857,10.7548,-36.282,1.13026,-54.7602,18.6043,49.0386,48.6308,-0.00326987,0.995202,-0.0977388,-0.00307309
216,8,0.902948,-39.7276,10.857,-36.0857,10.7548,-36.282,1.13026,-54.7602,18.555,49.0532,48.6759,-0.00325278,0.995139,-0.0983708,-0.00345125
