id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
75,8,40861,-13.986,-0.708548,-14.2336,0.256785,-14.385,0.292742,-16.8282,8.63552,18.4634,27.6553,66.7977,0.00052938,0.996746,-0.0178083,-0.0786074,339.6,280.658
76,0,40924,-13.8509,-1.14974,-14.2336,0.256785,-14.385,0.292742,-16.8282,8.63552,18.4441,27.7272,66.9105,0.001403,0.996845,-0.0160429,-0.0777159,339.6,280.658
77,5,40960,-14.0755,-3.17379,-14.7887,-4.61927,-14.7515,-4.57195,-17.4961,3.73778,18.4487,27.7735,66.8864,0.00207696,0.996867,-0.00617193,-0.0788305,340.813,285.294
78,4,40990,-14.3026,-5.21463,-14.5626,-6.21961,-14.474,-6.18952,-17.2804,2.12105,18.4543,27.8289,66.8575,0.00275071,0.996789,0.00369961,-0.0799372,340.566,286.84
79,5,41029,-14.5678,-7.51519,-14.3932,-7.42309,-14.2664,-7.41407,-17.1189,0.905273,18.4515,27.8764,66.8295,0.00144505,0.996582,0.0147457,-0.0812722,340.377,288.029
80,4,41057,-14.8299,-9.85333,-14.0725,-8.91303,-13.902,-8.93744,-16.8006,-0.602428,18.4476,27.9425,66.7904,0.000139208,0.996249,0.0257899,-0.0825971,339.96,289.51
81,5,41090,-14.305,-10.3151,-13.8052,-10.1511,-13.5989,-10.211,-16.5354,-1.85525,18.4522,27.9558,66.8689,-0.000453817,0.996399,0.0279826,-0.0800393,339.607,290.766
82,0,41123,-13.78,-10.7763,-13.8052,-10.1511,-13.5989,-10.211,-16.5354,-1.85525,18.4569,27.9691,66.9474,-0.00104684,0.996537,0.030175,-0.0774806,339.607,290.766
83,5,41190,-11.8932,-15.2648,-12.03,-14.1676,-11.7385,-14.3669,-14.7076,-5.94033,18.5251,28.067,66.899,8.8776e-06,0.996308,0.0518589,-0.0684218,336.996,294.91
84,8,41190,-11.8932,-15.2648,-12.03,-14.1676,-11.7385,-14.3669,-14.7076,-5.94033,18.5251,28.067,66.899,8.8776e-06,0.996308,0.0518589,-0.0684218,336.996,294.91
85,5,41257,-11.6747,-16.7141,-10.3234,-16.5731,-10.0029,-16.8679,-12.9275,-8.40148,18.5359,28.0943,66.8517,-0.000157785,0.995993,0.0587756,-0.0674119,334.388,297.445
86,5,41323,-9.17102,-18.5082,-8.30914,-18.5952,-7.98144,-18.9669,-10.8137,-10.4835,18.5718,28.1171,66.8914,0.000640366,0.99619,0.0676168,-0.05507,331.2,299.655
