Right Eye Position (x,y,z),Right Eye Forward Vector (x,y,z),Head Position (x,y,z),Head Rotation axis (x,y,z),Head Rotation angle ,Absolute intersection (x,y,z) ,Relative intersection (x,y,z) ,Interacted Object ID,timeStamp in ms
3.5178,-1.58588,-2.01833,0.283656,-0.0742659,0.956046,30.5035,27.3488,68.0568,-0.0825361,0.995221,0.0521816,155.024,41.4016,21.5508,0,1688.27,201.206,0,0,3250
3.5178,-1.58588,-2.01833,0.283656,-0.0742659,0.956046,30.5035,27.3488,68.0568,-0.0825361,0.995221,0.0521816,155.024,41.4016,21.5508,0,1688.27,201.206,0,0,3300
3.49647,-1.61159,-2.01491,0.251312,-0.113185,0.961266,25.8235,26.866,68.3417,0.028542,0.998371,0.0494025,183.673,1.7555,19.2833,0,71.5852,293.67,0,0,3367
3.33209,-1.46237,-1.99297,0.00218123,0.112069,0.993698,25.2297,26.8627,68.5315,0.0284482,0.998547,0.0457618,186.147,1.7555,19.2833,0,71.5852,293.67,0,0,3433
3.3228,-1.51968,-1.98849,-0.0121756,0.0243539,0.999629,25.121,27.4653,68.4377,0.0233254,0.997388,0.0683579,185.42,23.5641,31.0822,2,-0.127459,0.0278187,0,1,3500
3.28011,-1.57334,-1.99073,-0.0770092,-0.057878,0.995349,25.265,28.5352,68.6424,0.0209817,0.993391,0.112842,184.148,23.5641,31.0822,2,-0.127459,0.0278187,0,1,3550
3.2696,-1.70305,-2.01232,-0.0929594,-0.254431,0.962613,25.4927,30.1461,69.2656,0.0108017,0.981417,0.191585,182.564,23.5641,31.0822,2,-0.127459,0.0278187,0,1,3616
3.33906,-1.84537,-2.06513,0.0121973,-0.470193,0.882479,25.673,31.4974,70.6817,-0.003543,0.96179,0.273765,180.322,24.3612,25.6222,0,993.395,35.1853,0,0,3683
3.38747,-1.88575,-2.09132,0.0854984,-0.53135,0.842827,25.4957,32.0414,71.722,-0.0162745,0.95216,0.305165,178.991,24.3612,25.6222,0,993.395,35.1853,0,0,3751
3.40619,-1.90768,-2.10804,0.113854,-0.564532,0.817521,25.4509,32.0837,71.8787,-0.0177018,0.950523,0.31015,178.829,18.7216,24.7739,0,763.426,69.7749,0,0,3800
3.42649,-1.93402,-2.13056,0.144568,-0.604338,0.783502,25.3542,32.1067,72.1062,-0.0203405,0.94916,0.314136,178.714,16.5931,21.4116,0,676.629,206.882,0,0,3867
3.42649,-1.93402,-2.13056,0.144568,-0.604338,0.783502,25.3542,32.1067,72.1062,-0.0203405,0.94916,0.314136,178.714,16.5931,21.4116,0,676.629,206.882,0,0,3934
3.42649,-1.93402,-2.13056,0.144568,-0.604338,0.783502,25.3542,32.1067,72.1062,-0.0203405,0.94916,0.314136,178.714,16.5931,21.4116,0,676.629,206.882,0,0,4000
3.42649,-1.93402,-2.13056,0.144568,-0.604338,0.783502,25.3542,32.1067,72.1062,-0.0203405,0.94916,0.314136,178.714,16.5931,21.4116,0,676.629,206.882,0,0,4050
3.42649,-1.93402,-2.13056,0.144568,-0.604338,0.783502,25.3542,32.1067,72.1062,-0.0203405,0.94916,0.314136,178.714,23.0618,5.24846,0,940.409,865.98,0,0,4117
3.36812,-1.71583,-2.01395,0.0560154,-0.27378,0.96016,25.5892,27.6581,68.8469,-0.0225286,0.996476,0.0808022,179.006,23.3988,11.1169,0,954.152,626.678,0,0,4183
3.36812,-1.71583,-2.01395,0.0560154,-0.27378,0.96016,25.5892,27.6581,68.8469,-0.0225286,0.996476,0.0808022,179.006,23.3988,11.1169,0,954.152,626.678,0,0,4250
3.41379,-1.39514,-2.00652,0.125127,0.210234,0.969611,25.9275,25.3418,67.9484,-0.0181106,0.999707,-0.0160879,178.423,20.0622,19.8121,0,818.091,272.108,0,0,4300
3.41379,-1.39514,-2.00652,0.125127,0.210234,0.969611,25.9275,25.3418,67.9484,-0.0181106,0.999707,-0.0160879,178.423,20.0622,19.8121,0,818.091,272.108,0,0,4366
3.41379,-1.39514,-2.00652,0.125127,0.210234,0.969611,25.9275,25.3418,67.9484,-0.0181106,0.999707,-0.0160879,178.423,20.0622,19.8121,0,818.091,272.108,0,0,4433
3.41379,-1.39514,-2.00652,0.125127,0.210234,0.969611,25.9275,25.3418,67.9484,-0.0181106,0.999707,-0.0160879,178.423,20.0622,19.8121,0,818.091,272.108,0,0,4500
3.41379,-1.39514,-2.00652,0.125127,0.210234,0.969611,25.9275,25.3418,67.9484,-0.0181106,0.999707,-0.0160879,178.423,20.0622,19.8121,0,818.091,272.108,0,0,4550
3.41379,-1.39514,-2.00652,0.125127,0.210234,0.969611,25.9275,25.3418,67.9484,-0.0181106,0.999707,-0.0160879,178.423,20.0622,19.8121,0,818.091,272.108,0,0,4616
3.41379,-1.39514,-2.00652,0.125127,0.210234,0.969611,25.9275,25.3418,67.9484,-0.0181106,0.999707,-0.0160879,178.423,20.0622,19.8121,0,818.091,272.108,0,0,4683
3.41379,-1.39514,-2.00652,0.125127,0.210234,0.969611,25.9275,25.3418,67.9484,-0.0181106,0.999707,-0.0160879,178.423,20.0622,19.8121,0,818.091,272.108,0,0,4749
3.38616,-1.3236,-2.02328,0.0832433,0.318633,0.944216,25.9279,27.1258,67.2532,0.00624044,0.998563,0.0532267,179.463,20.0622,19.8121,0,818.091,272.108,0,0,4800
3.38616,-1.3236,-2.02328,0.0832433,0.318633,0.944216,25.9279,27.1258,67.2532,0.00624044,0.998563,0.0532267,179.463,20.0622,19.8121,0,818.091,272.108,0,0,4867
3.57506,-1.62288,-2.03949,0.369366,-0.135064,0.919417,25.9079,28.486,68.3291,0.00978931,0.993987,0.109059,179.419,20.0622,19.8121,0,818.091,272.108,0,0,4934
3.57506,-1.62288,-2.03949,0.369366,-0.135064,0.919417,25.9079,28.486,68.3291,0.00978931,0.993987,0.109059,179.419,20.0622,19.8121,0,818.091,272.108,0,0,5000
3.36466,-1.78054,-2.0351,0.0505466,-0.373932,0.926078,25.718,30.9468,70.3859,0.00733632,0.973653,0.227915,180.455,20.0622,19.8121,0,818.091,272.108,0,0,5050
3.36233,-1.81379,-2.04947,0.0469823,-0.424319,0.904293,25.6689,31.3001,70.9276,0.00593596,0.969268,0.245936,180.476,20.0622,19.8121,0,818.091,272.108,0,0,5117
3.36781,-1.88276,-2.08732,0.0552061,-0.528897,0.846889,25.4286,32.2046,72.9011,-0.00583121,0.950777,0.309822,181.196,20.0622,19.8121,0,818.091,272.108,0,0,5183
3.36122,-1.9424,-2.1289,0.0451984,-0.619252,0.78389,25.3821,32.3712,73.4661,-0.00990369,0.944803,0.327488,181.121,20.5253,22.8734,0,836.974,147.274,0,0,5250
3.36726,-2.00197,-2.18255,0.0543091,-0.709489,0.70262,25.4807,32.4548,74.2163,-0.0111686,0.942604,0.333727,180.597,20.6234,14.4954,0,840.977,488.908,0,0,5300
3.37478,-2.00141,-2.18261,0.0656202,-0.708456,0.702698,25.6351,31.9823,73.7588,-0.0109596,0.952767,0.303504,179.911,20.6038,9.19264,0,840.176,705.145,0,0,5367
3.37478,-2.00141,-2.18261,0.0656202,-0.708456,0.702698,25.6351,31.9823,73.7588,-0.0109596,0.952767,0.303504,179.911,20.6038,9.19264,0,840.176,705.145,0,0,5433
3.37527,-1.91872,-2.11203,0.0663035,-0.583161,0.809646,25.9402,29.7652,71.6776,-0.0162416,0.983685,0.179167,179.109,22.1197,0.442276,0,901.992,1061.96,0,0,5500
3.37458,-1.81969,-2.05306,0.0651709,-0.433152,0.898962,26.264,28.2225,70.5153,-0.0136815,0.993587,0.112236,178.548,23.1721,2.83842,0,944.908,964.256,0,0,5550
3.39305,-1.72146,-2.01661,0.093115,-0.28431,0.9542,26.3636,27.6916,70.2667,-0.014387,0.996836,0.0781681,177.861,22.2678,9.66935,0,908.031,685.705,0,0,5616
3.39305,-1.72146,-2.01661,0.093115,-0.28431,0.9542,26.3636,27.6916,70.2667,-0.014387,0.996836,0.0781681,177.861,22.2678,9.66935,0,908.031,685.705,0,0,5683
3.44115,-1.30784,-2.0351,0.166072,0.341328,0.925157,26.827,25.5461,68.8931,-0.00780048,0.999846,-0.0156918,177.507,22.2678,9.66935,0,908.031,685.705,0,0,5750
3.39073,-1.31623,-2.0249,0.0898159,0.328292,0.940296,26.8942,24.3969,68.1401,0.000626799,0.998564,-0.0535711,177.537,24.8901,33.3375,2,0.958466,0.482944,0,1,5799
3.39084,-1.31606,-2.02474,0.0898159,0.328292,0.940296,26.8862,24.2071,68.0661,0.000843812,0.998119,-0.061306,177.951,24.4309,32.1013,2,0.499273,-0.753288,0,1,5867
3.39084,-1.31606,-2.02474,0.0898159,0.328292,0.940296,26.8862,24.2071,68.0661,0.000843812,0.998119,-0.061306,177.951,24.4309,32.1013,2,0.499273,-0.753288,0,1,5934
3.39084,-1.31606,-2.02474,0.0898159,0.328292,0.940296,26.8862,24.2071,68.0661,0.000843812,0.998119,-0.061306,177.951,24.4309,32.1013,2,0.499273,-0.753288,0,1,6000
3.39084,-1.31606,-2.02474,0.0898159,0.328292,0.940296,26.8862,24.2071,68.0661,0.000843812,0.998119,-0.061306,177.951,24.4309,32.1013,2,0.499273,-0.753288,0,1,6050
3.39084,-1.31606,-2.02474,0.0898159,0.328292,0.940296,26.8862,24.2071,68.0661,0.000843812,0.998119,-0.061306,177.951,24.4309,32.1013,2,0.499273,-0.753288,0,1,6117
