Right Eye Position (x,y,z),Right Eye Forward Vector (x,y,z),Head Position (x,y,z),Head Rotation axis (x,y,z),Head Rotation angle ,Relative intersection (x,y,z) ,Absolute intersection (x,y,z) ,Interacted Object ID,timeStamp in ms
3.06627,-1.85163,-2.20925,-0.314345,-0.0584079,0.94751,28.5759,21.8387,70.2521,0.023657,0.999639,0.012725,160.888,1919.14,496.738,0,47.0633,14.3034,0,0,15066
3.06579,-1.85134,-2.20939,-0.315068,-0.0579643,0.947298,28.5605,21.8152,70.3139,0.022986,0.999672,0.0112521,161.157,1919.14,496.738,0,47.0633,14.3034,0,0,15083
3.06321,-1.85101,-2.21024,-0.318976,-0.0574603,0.946019,28.5429,21.8506,70.0702,0.0230544,0.999678,0.0105652,160.785,1919.14,496.738,0,47.0633,14.3034,0,0,15133
3.06321,-1.85101,-2.21024,-0.318976,-0.0574603,0.946019,28.5429,21.8506,70.0702,0.0230544,0.999678,0.0105652,160.785,1919.14,496.738,0,47.0633,14.3034,0,0,15133
3.06284,-1.85027,-2.21032,-0.31954,-0.0563407,0.945897,28.536,21.8577,70.0259,0.0229718,0.999685,0.0100935,160.75,1919.14,496.738,0,47.0633,14.3034,0,0,15183
3.06284,-1.85027,-2.21032,-0.31954,-0.0563407,0.945897,28.536,21.8577,70.0259,0.0229718,0.999685,0.0100935,160.75,1919.14,496.738,0,47.0633,14.3034,0,0,15200
3.0629,-1.85018,-2.21029,-0.319457,-0.0562042,0.945933,28.5315,21.8575,70.0556,0.0230929,0.999681,0.0102237,160.985,1919.14,496.738,0,47.0633,14.3034,0,0,15250
3.06198,-1.84967,-2.21057,-0.320846,-0.0554376,0.945507,28.5339,21.8538,70.0457,0.0229228,0.99972,0.00595056,161.019,1919.14,496.738,0,47.0633,14.3034,0,0,15266
3.06211,-1.84932,-2.21051,-0.320655,-0.0549048,0.945604,28.5316,21.8525,70.0559,0.0230059,0.999718,0.00597156,161.118,1919.14,496.738,0,47.0633,14.3034,0,0,15316
3.06211,-1.84932,-2.21051,-0.320655,-0.0549048,0.945604,28.5316,21.8525,70.0559,0.0230059,0.999718,0.00597156,161.118,1919.14,496.738,0,47.0633,14.3034,0,0,15333
3.06031,-1.85302,-2.21135,-0.323377,-0.0605135,0.944333,28.4674,21.7897,70.3812,0.0233395,0.999623,0.0144533,161.552,1919.14,496.738,0,47.0633,14.3034,0,0,15383
3.06031,-1.85302,-2.21135,-0.323377,-0.0605135,0.944333,28.4674,21.7897,70.3812,0.0233395,0.999623,0.0144533,161.552,1919.14,496.738,0,47.0633,14.3034,0,0,15383
3.1664,-1.90082,-2.18933,-0.162628,-0.132937,0.977691,28.2992,21.8456,70.0401,0.0258814,0.999608,0.0106905,161.347,1919.14,496.738,0,47.0633,14.3034,0,0,15433
3.1664,-1.90082,-2.18933,-0.162628,-0.132937,0.977691,28.2992,21.8456,70.0401,0.0258814,0.999608,0.0106905,161.347,1919.14,496.738,0,47.0633,14.3034,0,0,15449
3.31839,-1.86276,-2.178,0.0676626,-0.0752663,0.994865,28.0533,21.8539,69.9585,0.0273804,0.999499,0.0158539,163.284,1900.68,420.805,0,46.6107,16.1655,0,0,15499
3.3534,-1.85018,-2.18049,0.120706,-0.0562038,0.991096,27.9252,21.7894,70.3416,0.0278372,0.99958,-0.0080055,166.209,1581.75,488.114,0,38.7895,14.5149,0,0,15516
3.37212,-1.824,-2.18208,0.14907,-0.0165455,0.988688,27.8224,21.8057,70.0548,0.0301847,0.999326,0.020871,163.619,1632.6,200.327,0,40.0366,21.5724,0,0,15566
3.37212,-1.824,-2.18208,0.14907,-0.0165455,0.988688,27.8224,21.8057,70.0548,0.0301847,0.999326,0.020871,163.619,1632.6,200.327,0,40.0366,21.5724,0,0,15583
3.34759,-1.84869,-2.17972,0.111903,-0.0539503,0.992254,27.6069,21.842,69.8424,0.0295566,0.999512,0.0100819,165.504,1631.69,377.156,0,40.0141,17.236,0,0,15633
3.34759,-1.84869,-2.17972,0.111903,-0.0539503,0.992254,27.6069,21.842,69.8424,0.0295566,0.999512,0.0100819,165.504,1631.69,377.156,0,40.0141,17.236,0,0,15633
3.34187,-1.8502,-2.17919,0.103238,-0.0562338,0.993066,27.5265,21.8073,70.0851,0.0290853,0.999572,0.00323225,166.558,1601.24,424.889,0,39.2674,16.0654,0,0,15682
3.34187,-1.8502,-2.17919,0.103238,-0.0562338,0.993066,27.5265,21.8073,70.0851,0.0290853,0.999572,0.00323225,166.558,1601.24,424.889,0,39.2674,16.0654,0,0,15699
3.32741,-1.8486,-2.17775,0.0813189,-0.0538139,0.995234,27.3578,21.8598,70.0629,0.028611,0.999509,0.0127573,167.485,1616.33,362.801,0,39.6374,17.588,0,0,15749
3.32741,-1.8486,-2.17775,0.0813189,-0.0538139,0.995234,27.3578,21.8598,70.0629,0.028611,0.999509,0.0127573,167.485,1616.33,362.801,0,39.6374,17.588,0,0,15766
3.32437,-1.84972,-2.17757,0.076713,-0.0555146,0.995507,27.2998,21.8705,70.0721,0.0295198,0.999445,0.0154469,167.002,1652.53,354.14,0,40.5254,17.8004,0,0,15816
3.32224,-1.85006,-2.17743,0.0734894,-0.056031,0.995721,27.2654,21.8874,69.9636,0.0290036,0.99951,0.0117781,167.436,1637.69,375.618,0,40.1612,17.2737,0,0,15832
3.31896,-1.85145,-2.17728,0.0685175,-0.0581273,0.995955,27.2525,21.8824,70.0086,0.0287923,0.999455,0.0161346,167.379,1655.92,358.079,0,40.6084,17.7038,0,0,15866
3.31896,-1.85145,-2.17728,0.0685175,-0.0581273,0.995955,27.2525,21.8824,70.0086,0.0287923,0.999455,0.0161346,167.379,1655.92,358.079,0,40.6084,17.7038,0,0,15899
